# title: 2022 President by Barangay
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
1380601089,BARANGAY  89,224,132,3,259,7,0,0,0,0,0
1380601090,BARANGAY  90,253,161,3,211,14,0,0,1,0,2
1380601091,BARANGAY  91,806,419,11,996,21,1,0,3,0,1
1380601092,BARANGAY  92,538,289,2,579,20,3,2,1,2,1
1380601093,BARANGAY  93,722,350,14,1032,10,3,0,0,0,0
1380601094,BARANGAY  94,416,187,8,511,14,0,0,0,0,0
1380601095,BARANGAY  95,780,388,10,1262,19,0,0,5,0,1
1380601096,BARANGAY  96,803,472,11,895,27,0,1,4,4,1
1380601097,BARANGAY  97,595,337,7,858,20,3,0,2,3,1
1380601098,BARANGAY  98,264,118,6,264,4,1,0,1,0,0
1380601099,BARANGAY  99,309,153,1,284,8,1,0,2,0,1
1380601100,BARANGAY 100,428,177,2,526,7,0,0,2,1,0
1380601101,BARANGAY 101,2131,525,60,2375,38,5,4,5,5,2
1380601102,BARANGAY 102,709,250,3,812,11,2,0,0,1,1
1380601103,BARANGAY 103,830,379,13,1052,23,0,3,3,3,1
1380601104,BARANGAY 104,1013,406,13,1206,22,3,1,3,1,3
1380601105,BARANGAY 105,2702,665,93,3201,28,9,5,12,7,6
1380601106,BARANGAY 106,617,261,8,786,10,1,3,5,1,1
1380601107,BARANGAY 107,1367,487,9,1381,36,3,0,4,0,2
1380601108,BARANGAY 108,891,339,11,985,18,1,2,2,1,2
1380601109,BARANGAY 109,697,332,5,717,7,1,0,2,1,0
1380601110,BARANGAY 110,452,176,8,561,11,3,1,0,1,0
1380601111,BARANGAY 111,362,181,7,559,11,2,0,0,0,1
1380601112,BARANGAY 112,922,388,8,800,26,4,0,1,6,2
1380601116,BARANGAY 116,1396,548,21,1099,29,1,0,5,2,1
1380601117,BARANGAY 117,793,256,18,956,20,2,1,2,0,1
1380601118,BARANGAY 118,1929,686,26,1894,33,3,2,3,3,0
1380601119,BARANGAY 119,898,342,14,760,33,1,1,3,1,1
1380601120,BARANGAY 120,607,200,3,625,10,1,1,1,0,2
1380601121,BARANGAY 121,1304,409,9,1335,27,1,1,3,0,0
1380601122,BARANGAY 122,811,344,5,871,15,0,1,1,0,1
1380601123,BARANGAY 123,1204,291,20,1408,18,3,1,4,3,0
1380601124,BARANGAY 124,421,137,10,575,8,3,0,2,0,0
1380601125,BARANGAY 125,445,144,6,531,7,0,1,2,0,4
1380601126,BARANGAY 126,235,110,4,186,8,0,0,0,1,0
1380601127,BARANGAY 127,105,66,0,136,3,1,0,0,0,1
1380601128,BARANGAY 128,2378,629,75,3628,47,7,4,12,0,1
1380601129,BARANGAY 129,874,276,23,1185,31,8,0,6,2,0
1380601130,BARANGAY 130,329,129,10,321,7,0,0,2,1,0
1380601131,BARANGAY 131,408,141,10,402,14,1,0,0,1,2
1380601132,BARANGAY 132,212,153,3,173,8,1,0,0,0,0
1380601133,BARANGAY 133,504,218,8,514,18,1,1,3,2,1
1380601134,BARANGAY 134,208,158,2,204,9,1,0,0,0,0
1380601135,BARANGAY 135,331,226,3,385,13,2,0,2,1,0
1380601136,BARANGAY 136,154,97,2,160,8,0,0,0,0,0
1380601137,BARANGAY 137,182,163,2,222,7,0,1,1,0,8
1380601138,BARANGAY 138,584,290,7,829,31,2,0,1,0,5
1380601139,BARANGAY 139,131,65,0,111,7,0,1,0,0,0
1380601140,BARANGAY 140,140,128,3,197,7,0,0,1,0,2
1380601141,BARANGAY 141,172,76,1,156,6,0,0,0,0,0
1380601142,BARANGAY 142,273,211,4,434,9,2,1,1,0,0
1380601143,BARANGAY 143,138,80,2,191,2,0,0,0,0,0
1380601144,BARANGAY 144,460,165,6,458,13,4,0,1,1,0
1380601145,BARANGAY 145,176,107,3,209,13,0,0,0,1,0
1380601146,BARANGAY 146,473,265,2,461,14,1,0,1,0,0
1380601147,BARANGAY 147,373,186,8,329,8,0,0,1,0,1
1380601148,BARANGAY 148,397,369,6,478,13,0,1,3,0,0
1380601149,BARANGAY 149,333,214,5,404,14,0,0,5,0,0
1380601150,BARANGAY 150,345,237,17,471,21,0,2,1,0,0
1380601151,BARANGAY 151,487,191,18,307,26,0,0,0,0,2
1380601152,BARANGAY 152,741,289,8,837,14,1,2,3,1,0
1380601153,BARANGAY 153,538,318,4,747,20,1,1,5,1,1
1380601154,BARANGAY 154,325,158,7,206,11,0,0,0,0,1
1380601155,BARANGAY 155,550,290,4,749,19,1,1,2,1,1
1380601156,BARANGAY 156,348,215,6,354,13,0,1,1,0,0
1380601157,BARANGAY 157,380,231,2,525,9,1,0,2,0,1
1380601158,BARANGAY 158,376,163,4,601,14,0,0,1,0,1
1380601159,BARANGAY 159,339,175,4,406,9,0,0,1,0,1
1380601160,BARANGAY 160,413,213,5,726,17,1,0,0,0,4
1380601161,BARANGAY 161,426,171,5,411,10,1,0,2,0,0
1380601162,BARANGAY 162,157,136,3,171,8,0,0,0,0,1
1380601163,BARANGAY 163,914,463,19,1067,24,1,0,2,1,6
1380601164,BARANGAY 164,440,240,10,563,11,2,1,3,0,1
1380601165,BARANGAY 165,286,123,1,296,7,0,0,1,0,3
1380601166,BARANGAY 166,175,208,2,179,7,0,0,0,0,0
1380601167,BARANGAY 167,194,161,1,167,8,1,0,0,1,0
1380601168,BARANGAY 168,256,269,3,194,19,0,0,0,0,0
1380601169,BARANGAY 169,312,189,1,309,16,0,1,0,0,0
1380601170,BARANGAY 170,169,146,1,119,7,0,0,0,0,0
1380601171,BARANGAY 171,250,190,2,254,12,1,0,0,1,0
1380601172,BARANGAY 172,325,162,3,284,15,0,0,1,0,0
1380601173,BARANGAY 173,439,271,6,353,15,0,0,5,1,0
1380601174,BARANGAY 174,172,151,2,160,3,0,0,1,1,2
1380601175,BARANGAY 175,206,148,3,206,10,0,0,3,1,0
1380601176,BARANGAY 176,304,207,1,280,9,0,1,0,2,0
1380601177,BARANGAY 177,685,304,17,759,14,1,2,3,1,1
1380601178,BARANGAY 178,243,182,6,243,12,0,0,1,0,0
1380601179,BARANGAY 179,459,259,5,491,14,2,1,4,0,0
1380601180,BARANGAY 180,837,406,6,1135,22,0,2,4,3,3
1380601181,BARANGAY 181,443,299,4,613,11,0,0,0,0,1
1380601182,BARANGAY 182,1219,574,10,1288,41,3,0,2,2,1
1380601183,BARANGAY 183,497,327,5,657,12,2,0,2,0,2
1380601184,BARANGAY 184,506,331,8,910,18,3,0,2,0,2
1380601185,BARANGAY 185,606,443,7,625,21,0,1,3,2,0
1380601186,BARANGAY 186,334,228,5,381,10,0,0,1,1,1
1380601187,BARANGAY 187,331,181,6,286,15,0,1,0,0,1
1380601188,BARANGAY 188,254,176,3,229,12,0,0,0,0,0
1380601189,BARANGAY 189,449,334,6,267,16,1,0,0,0,0
1380601190,BARANGAY 190,253,219,4,301,15,0,1,1,1,0
1380601191,BARANGAY 191,254,133,1,187,7,1,0,3,1,0
1380601192,BARANGAY 192,347,195,3,286,13,0,1,3,0,1
1380601193,BARANGAY 193,269,129,0,170,4,0,1,2,0,0
1380601194,BARANGAY 194,394,162,1,249,2,0,0,1,0,0
1380601195,BARANGAY 195,347,97,3,210,4,1,0,0,0,0
1380601196,BARANGAY 196,267,115,0,227,8,0,0,2,0,0
1380601197,BARANGAY 197,292,155,5,228,11,0,0,1,0,0
1380601198,BARANGAY 198,765,399,11,877,20,2,1,4,1,3
1380601199,BARANGAY 199,501,306,9,741,16,1,0,2,1,0
1380601200,BARANGAY 200,497,252,4,511,12,1,0,2,0,1
1380601201,BARANGAY 201,404,253,5,324,25,0,0,3,1,2
1380601202,BARANGAY 202,320,257,5,256,15,2,0,1,0,0
1380601203,BARANGAY 202-A,146,109,2,139,11,0,0,0,0,0
1380601204,BARANGAY 203,657,416,14,404,25,0,2,2,0,1
1380601205,BARANGAY 204,522,355,13,479,22,1,1,2,0,2
1380601206,BARANGAY 205,338,226,7,360,17,0,0,0,0,1
1380601207,BARANGAY 206,476,206,17,352,23,1,0,2,0,1
1380601208,BARANGAY 207,291,115,2,194,5,0,0,0,0,0
1380601209,BARANGAY 208,481,238,4,312,9,1,0,2,0,0
1380601210,BARANGAY 209,672,423,26,355,26,1,0,1,3,1
1380601211,BARANGAY 210,729,275,15,530,7,0,1,0,2,1
1380601212,BARANGAY 211,731,294,12,564,19,1,1,4,4,1
1380601213,BARANGAY 212,560,198,5,526,17,3,0,3,0,1
1380601214,BARANGAY 213,538,290,22,486,20,3,0,1,1,1
1380601215,BARANGAY 214,273,152,3,246,5,0,0,0,1,0
1380601216,BARANGAY 215,598,292,8,631,21,0,0,0,1,1
1380601217,BARANGAY 216,735,254,2,468,16,1,1,0,0,1
1380601218,BARANGAY 217,228,99,3,345,7,1,0,2,0,0
1380601219,BARANGAY 218,176,67,0,256,4,1,0,1,0,0
1380601220,BARANGAY 219,277,205,7,149,14,0,1,1,0,0
1380601221,BARANGAY 220,392,192,12,194,13,2,0,1,0,0
1380601222,BARANGAY 221,653,333,8,710,13,1,0,1,2,0
1380601223,BARANGAY 222,363,228,2,410,6,0,0,1,1,0
1380601224,BARANGAY 223,374,128,8,399,8,0,0,1,0,0
1380601225,BARANGAY 224,228,128,2,209,11,1,1,1,0,0
1380601226,BARANGAY 225,480,172,0,423,14,1,0,1,0,0
1380601227,BARANGAY 226,388,158,9,377,10,0,0,1,0,0
1380601228,BARANGAY 227,643,272,13,569,25,0,1,2,0,2
1380601229,BARANGAY 228,438,139,6,514,13,0,1,1,1,0
1380601230,BARANGAY 229,231,131,1,196,7,3,0,1,0,0
1380601231,BARANGAY 230,245,133,2,214,9,0,0,0,0,0
1380601232,BARANGAY 231,456,270,1,512,16,0,0,3,0,2
1380601233,BARANGAY 232,658,293,3,701,24,4,0,2,0,0
1380601234,BARANGAY 233,314,156,3,303,12,1,0,1,0,1
1380601235,BARANGAY 234,369,225,2,277,16,0,0,1,0,1
1380601236,BARANGAY 235,485,293,2,385,18,1,0,0,0,0
1380601237,BARANGAY 236,228,82,4,267,8,1,0,0,0,0
1380601238,BARANGAY 237,185,113,5,245,7,1,0,0,0,0
1380601239,BARANGAY 238,182,99,3,123,13,1,1,0,0,0
1380601240,BARANGAY 239,407,191,1,542,9,0,0,2,0,0
1380601241,BARANGAY 240,42,20,0,31,3,0,0,0,0,0
1380601242,BARANGAY 241,185,93,2,201,10,0,0,0,1,0
1380601243,BARANGAY 242,161,73,4,63,18,1,0,0,1,0
1380601244,BARANGAY 243,113,92,0,168,3,0,0,1,0,0
1380601245,BARANGAY 244,155,88,1,157,7,0,1,2,0,1
1380601246,BARANGAY 245,152,86,8,76,11,0,0,0,0,0
1380601247,BARANGAY 246,313,166,6,284,11,1,0,1,1,0
1380601248,BARANGAY 247,209,69,3,60,12,3,0,0,0,0
1380601249,BARANGAY 248,165,69,2,104,10,0,0,1,0,0
1380601250,BARANGAY 249,154,110,2,150,6,1,0,1,1,0
1380601251,BARANGAY 250,368,220,7,250,24,0,0,4,0,0
