level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
province,REGION X,,Lanao Del Norte,10488531,3792268,6696263,2544665,1797166,90462,837961,5175895,127285,5303180
province,REGION X,,Misamis Occidental,10254441,1189012,9065430,2241100,2018377,-87743,134979,1005704,-593117,412587
province,REGION X,,Misamis Oriental,8903802,3689040,5214762,3463686,3089461,-76393,297832,1134454,-214665,919789
province,REGION XI,,Davao De Oro,23355178,1794356,21560822,4082225,3898951,-116947,66326,1580582,169460,1750042
province,REGION XI,,Davao Del Norte,8347878,1932777,6415101,2936866,2758314,62414,240966,1717827,-218173,1499653
province,REGION XI,,Davao Del Sur,7386569,1395043,5991526,2224344,1919952,-50732,253660,1355658,230374,1586032
province,REGION XI,,Davao Occidental,5929696,2082393,3847303,1485468,1286275,-11511,187682,585851,11013,596864
province,REGION XI,,Davao Oriental,11613246,2508629,9104617,2512527,2451084,-17265,44179,723621,244087,967708
province,REGION XII,,North Cotabato,15979831,834657,15145175,4524371,2695549,-75350,1753472,2506690,-541723,1964967
province,REGION XII,,Sarangani,6208036,1418404,4789632,2061266,1999472,159361,221155,1405618,204841,1610459
province,REGION XII,,South Cotabato,8670614,1888191,6782423,2986746,2655492,-14745,316509,1497073,96814,1593888
province,REGION XII,,Sultan Kudarat,6688854,1997599,4691256,2732228,2312258,-7659,412311,1174325,-599783,574542
province,REGION XIII,,Agusan Del Norte,5864627,1328638,4535989,1803442,1536933,-225091,41417,1171983,-96863,1075121
province,REGION XIII,,Agusan Del Sur,14790643,1383417,13407227,3515479,2588352,-39695,887432,3031617,-99710,2931908
province,REGION XIII,,Dinagat Islands,2286826,339087,1947739,1078194,873927,-61657,142609,673994,-66035,607959
province,REGION XIII,,Surigao Del Norte,16094058,2476206,13617852,1961156,2117431,-33372,-189647,1891916,-636294,1255622
province,REGION XIII,,Surigao Del Sur,9430392,3366877,6063515,2491235,2078999,-38107,374128,1386297,-82752,1303544
province,BARMM,,Basilan,2656199,1150115,1506085,1629166,1582847,-25754,20566,210152,207515,417667
province,BARMM,,Lanao Del Sur,11045181,3757528,7287653,3884747,3870909,-632,13207,2172800,-560135,1612665
province,BARMM,,Maguindanao del Norte,2468791,652422,1816368,2549056,2010775,-240402,297879,1489858,595928,2085786
province,BARMM,,Maguindanao del Sur,3166882,1222797,1944085,2175130,2130070,4191,49252,399074,-217985,181089
province,BARMM,,Sulu,5790498,816807,4973691,2121942,1706954,-25632,389356,68405,83284,151689
province,BARMM,,Tawi Tawi,4438958,623357,3815601,1659557,1329237,-34546,295773,55495,649898,705393
city,NCR,,Caloocan,34072081,17076888,16995194,8698534,8027737,-44240,626558,8371081,-1101558,7269523
city,NCR,,Las Piñas,13818404,3579815,10238590,4356473,3632238,-36652,687583,6563115,87000,6650116
city,NCR,,Makati,246100481,19775712,226324770,21876644,21247026,-456360,173259,26032289,607095,26639383
city,NCR,,Malabon,6067322,3464553,2602769,2383318,3012838,-47569,-677088,2213572,-466534,1747038
city,NCR,,Mandaluyong,34157373,7533123,26624250,7781702,8123978,-217040,-559316,3288747,-1018427,2270321
city,NCR,,Manila,92810890,41696548,51114342,21837091,16620120,-832769,4384203,9304414,-1220187,8084227
city,NCR,,Marikina,10571723,5424725,5146998,3673428,3844504,-91755,-262831,1628292,-38176,1590115
city,NCR,,Muntinlupa,21305055,6562407,14742649,6850682,6546749,-334641,-30707,3463527,-456493,3007034
city,NCR,,Navotas,6294952,1649764,4645188,1810774,1904563,6685,-87104,1038401,364158,1402559
city,NCR,,Parañaque,38211409,10860098,27351311,10638198,8390008,-434563,1813627,8693636,163022,8856658
city,NCR,,Pasay,21027860,9735338,11292522,9503826,8160095,-301018,1042714,3473381,1291952,4765332
city,NCR,,Pasig,53774366,8078476,45695890,17004404,12885625,-846581,3272199,11362223,-1437261,9924962
city,NCR,,Quezon,489945667,36251274,453694393,31434441,26387208,-2469440,2577793,14774606,-413262,14361344
city,NCR,,San Juan,8426994,2615402,5811593,3101068,2744518,-110159,246391,3343934,211775,3555710
city,NCR,,Taguig,54174869,29091642,25083227,20569309,17472207,-1204838,1892264,22881823,1411504,24293326
city,NCR,,Valenzuela,14808107,5964123,8843983,6301559,5811937,-231786,257836,715964,-27324,688640
city,CAR,,Baguio,17704536,8327906,9376630,2787702,2013088,-66629,707985,1603887,4196109,5799995
city,CAR,,Tabuk,4897595,1700157,3197438,1618321,1562202,-49199,6920,680673,-153554,527119
city,REGION I,,Alaminos,3529525,731037,2798488,1146944,941072,-34834,171038,317827,24228,342055
city,REGION I,,Batac,4524099,757993,3766106,1279825,801167,18769,497426,2344146,494071,2838217
city,REGION I,,Candon,8152241,797453,7354788,2462669,959170,-110628,1392871,2369112,810865,3179976
city,REGION I,,Dagupan,4330892,901614,3429278,1417022,1166357,-39198,211467,1776087,71895,1847981
city,REGION I,,Laoag,21439731,820830,20618901,1204345,927905,-16670,259770,1291815,127477,1419292
city,REGION I,,San Carlos,4351851,959455,3392396,1272639,1006099,-17179,249361,1138911,158166,1297077
city,REGION I,,San Fernando,3420792,591471,2829320,1320465,1021576,-18173,280716,1181240,231884,1413124
city,REGION I,,Urdaneta,3700918,997221,2703698,1541456,1434298,-8744,98413,892790,-97081,795710
city,REGION I,,Vigan,2873784,648683,2225102,861236,579362,-6466,275408,1200170,430559,1630729
city,REGION II,,Cauayan,3633585,2363782,1269803,1511894,1533623,-26099,-47829,268417,2766,271184
city,REGION II,,Ilagan,8896846,3149153,5747693,2792956,2283968,-1591,507397,90015,58596,148610
city,REGION II,,Santiago,9094976,2090412,7004565,2610753,2062265,-8185,540303,1599449,-193638,1405811
city,REGION II,,Tuguegarao,5400432,1814536,3585896,1465722,1159915,-24727,281080,1165067,-33980,1131087
city,REGION III,,Angeles,9494254,3503858,5990395,3479522,3070677,-46250,362595,1943286,-64955,1878331
city,REGION III,,Balanga,2358936,696088,1662849,1236730,1068628,-56113,111989,602817,-117724,485092
city,REGION III,,Baliwag,2301312,1086821,1214491,1280072,1181871,-15981,82220,768117,440,768557
city,REGION III,,Cabanatuan,9646944,5007401,4639543,2468684,2209897,-47328,211460,1345071,-185404,1159667
city,REGION III,,Gapan,2970933,1026397,1944537,991290,913876,38246,115660,167205,166861,334066
city,REGION III,,Mabalacat,2828495,1141204,1687291,2321517,2226443,6023,101097,417497,-2042,415455
city,REGION III,,Malolos,3208217,972570,2235648,1609941,1581448,-35363,-6870,1017544,-316179,701364
city,REGION III,,Meycauyan,9833949,2387125,7446824,2574808,1545626,-20057,1009125,3088833,551128,3639961
city,REGION III,,Olongapo,10713617,7754391,2959226,2220863,2164899,-49925,6039,1819740,-49787,1769954
city,REGION III,,Palayan,1747680,251704,1495976,635235,538258,-18586,78391,357712,34036,391748
city,REGION III,,San Fernando,6585309,1878101,4707208,2591821,2406622,-10398,174801,1729151,39063,1768215
city,REGION III,,San Jose,4482177,937662,3544516,1240121,1309543,377297,307874,372209,-133295,238914
city,REGION III,,San Jose Del Monte,5792250,1201009,4591241,2944545,2850610,-50320,43615,1361766,-50633,1311134
city,REGION III,,Science City of Muñoz,3054453,632278,2422176,893112,700597,28429,220943,458366,66959,525325
city,REGION III,,Tarlac,8013388,1819239,6194148,2715576,1953180,-97777,664619,1263128,424067,1687195
city,REGION IV-A,,Antipolo,22690463,6351612,16338851,5693718,4649744,-62542,981432,9110314,341424,9451738
city,REGION IV-A,,Bacoor,9194559,2596677,6597882,3539599,2958170,150494,731923,2470182,62007,2532189
city,REGION IV-A,,Batangas,12994835,2428591,10566244,4588348,4186351,70622,472619,4659584,-252767,4406817
city,REGION IV-A,,Biñan,11968897,4500267,7468631,3890385,3528967,-5593,355825,1252383,-262757,989625
city,REGION IV-A,,Cabuyao,7117752,1943747,5174005,2978971,3151891,-33859,-206778,1767958,-1023902,744056
city,REGION IV-A,,Calaca,4235828,1150344,3085484,1896067,1130946,55439,820560,1393559,541089,1934649
city,REGION IV-A,,Calamba,19918783,7463800,12454983,6509430,6028896,-261127,219408,6650820,-581452,6069368
city,REGION IV-A,,Carmona,7644903,667349,6977554,1866085,1172405,-21410,672270,1607308,476325,2083633
city,REGION IV-A,,Cavite,1961867,339477,1622390,757816,717798,-17897,22121,546843,-27779,519064
city,REGION IV-A,,Dasmariñas,15211023,4890031,10320992,4138339,3501332,-46820,590187,3233310,-207141,3026170
city,REGION IV-A,,General Trias,7698008,504200,7193808,3565583,2643774,-15768,906041,1788926,-50765,1738161
city,REGION IV-A,,Imus,7823367,3660020,4163347,3211987,2945855,-34580,231552,1471088,-105528,1365560
city,REGION IV-A,,Lipa,7171145,1567821,5603323,3427213,2939463,397444,885195,3133440,-219345,2914095
city,REGION IV-A,,Lucena,3850130,1800945,2049185,1817613,1810923,-17078,-10388,718568,-58461,660107
city,REGION IV-A,,San Pablo,5042988,1199716,3843272,1942279,1811486,-12884,117909,410846,-174339,236507
city,REGION IV-A,,San Pedro,8038148,2504500,5533647,2217310,2241770,-14734,-39195,1126846,-161447,965399
city,REGION IV-A,,Santa Rosa,19616355,4381108,15235246,6251044,6581723,-30640,-361319,2127905,-135028,1992878
city,REGION IV-A,,Santo Tomas,5012221,1092623,3919598,2025091,1934809,87697,177978,1244371,-99575,1144796
city,REGION IV-A,,Tagaytay,10025387,3353568,6671819,1881959,1306903,-41386,533671,2327317,497712,2825028
city,REGION IV-A,,Tanauan,8696971,919394,7777577,2968415,2430199,100566,638783,3538754,-214695,3324060
city,REGION IV-A,,Tayabas,4108837,1204542,2904295,1117285,1012951,-56124,48209,1048352,-160332,888020
city,REGION IV-A,,Trece Martires,4546055,1298227,3247828,1525286,1270599,-10825,243861,1555807,187341,1743148
city,REGION IV-B,,Calapan,2483751,817079,1666672,1279625,1364921,79398,-5899,436749,94294,531043
city,REGION IV-B,,Puerto Princesa,19653924,3848413,15805510,5296069,4056873,-123959,1115238,5718495,-257602,5460893
city,REGION V,,Iriga,2084332,778222,1306110,929857,692888,-24465,212504,523800,-7723,516077
city,REGION V,,Legazpi,6997596,889529,6108068,1832840,1578539,-23685,230616,1769439,207770,1977209
city,REGION V,,Ligao,4381368,433745,3947622,1072672,870926,-35668,166079,1075022,118504,1193527
city,REGION V,,Masbate,2213981,657268,1556713,967474,934380,-17644,15450,158587,-8441,150147
city,REGION V,,Naga,8948525,3857100,5091425,1926975,1708956,-12335,205684,846958,130086,977044
city,REGION V,,Sorsogon,3676562,1192555,2484007,1531618,1757791,195596,-30577,355750,-35105,320645
city,REGION V,,Tabaco,4360287,896584,3463703,979370,796698,-46564,136107,1174296,-20254,1154043
city,REGION VI,,Bacolod,11759494,5313923,6445571,3467019,3050911,-89935,326173,2529701,-66641,2463060
city,REGION VI,,Bago,3341258,774547,2566711,1537074,1426293,-27304,83478,500550,-15430,485119
city,REGION VI,,Cadiz,5632455,2357165,3275290,1574195,1568023,43689,49862,687463,-66351,621112
city,REGION VI,,Escalante,2773681,845298,1928383,966903,878205,-19183,69515,416629,21632,438261
city,REGION VI,,Himamaylan,3565842,907626,2658216,1114286,1105760,102873,111398,567659,-129789,437870
