level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
municipality,Region IX,Zamboanga Sibugay,Regional Total,41565379,11436507,30128872,13977532,13309810,267814,935536,6835320,-241165,6594155
municipality,Region X,Bukidnon,Sub-Total,21648623,5160536,16488086,7222079,6479573,-27622,714883,4276341,-123310,4153032
municipality,Region X,Camiguin,Sub-Total,1514041,297802,1216239,620573,605071,20424,35926,232475,-17788,214687
municipality,Region X,Lanao del Norte,Sub-Total,9415451,2870418,6545033,4051977,3658925,-78906,314146,1447260,15949,1463209
municipality,Region X,Misamis Occidental,Sub-Total,7260731,1567929,5692802,2263812,2055631,-49504,158677,1381339,-217294,1164045
municipality,Region X,Misamis Oriental,Sub-Total,15580907,4253007,11327900,5462949,4763935,-139792,559222,3117226,-443373,2673854
municipality,Region X,Misamis Oriental,Regional Total,55419752,14149692,41270060,19621389,17563135,-275400,1782854,10454642,-785816,9668826
municipality,Region XI,Davao De Oro,Sub-Total,11460099,2474710,8985389,4551263,4503938,20799,68124,1862459,-195733,1666727
municipality,Region XI,Davao del Norte,Sub-Total,7721442,2413606,5307836,3013267,2857146,17974,174095,1260945,-392679,868266
municipality,Region XI,Davao del Sur,Sub-Total,6783678,1916593,4867084,2595728,2381919,17873,231682,1518237,37137,1555374
municipality,Region XI,Davao Occidental,Sub-Total,4146957,1281952,2865004,1930413,1703824,-21080,205509,961934,-389457,572478
municipality,Region XI,Davao Oriental,Sub-Total,6296707,1902596,4394111,2986373,2867018,-35993,83362,760364,-194383,565981
municipality,Region XI,Davao Oriental,Regional Total,36408882,9989457,26419425,15077045,14313846,-427,762771,6363940,-1135115,5228825
municipality,Region XII,Davao Oriental,Sub-Total,17735660,5736389,11999272,6882991,6097907,88561,873644,2904668,254794,3159462
municipality,Region XII,Sarangani,Sub-Total,7082412,2346293,4736120,2938995,2784307,82490,237177,1118494,-119801,998693
municipality,Region XII,South Cotabato,Sub-Total,9925833,3232442,6693391,4013753,3598735,-56820,358199,1467994,-228712,1239283
municipality,Region XII,Sultan Kudarat,Sub-Total,8016421,3411214,4605207,3853905,3483597,-84449,285859,1372062,-13217,1358845
municipality,Region XII,Sultan Kudarat,Regional Total,42760327,14726337,28033989,17689644,15964547,29782,1754879,6863218,-106936,6756282
municipality,Region XIII,Agusan del Norte,Sub-Total,6130150,1388496,4741654,2090531,1913240,21135,198425,880918,-184472,696447
municipality,Region XIII,Agusan del Sur,Sub-Total,16448121,5764291,10683830,5159176,4645151,-219956,294069,2264358,-239983,2024375
municipality,Region XIII,Dinagat Islands,Sub-Total,3250146,370830,2879316,1223926,984452,-19099,220374,759535,107971,867506
municipality,Region XIII,Surigao del Norte,Sub-Total,11543692,2603752,8939940,3571813,3044128,-30584,497101,1896346,94326,1990672
municipality,Region XIII,Surigao del Sur,Sub-Total,10235577,2472559,7763017,3988215,3549683,16823,455356,1598146,229755,1827900
municipality,Region XIII,Surigao del Sur,Regional Total,47607685,12599929,35007757,16033660,14136654,-231681,1665325,7399302,7598,7406900
municipality,BARMM,Basilan,Sub-Total,3786326,2685041,1101285,1622271,1538740,-7725,75806,76710,43371,120081
municipality,BARMM,Lanao del Sur,Sub-Total,10572787,2960072,7612715,7484648,6733531,295202,1046318,221337,339114,560451
municipality,BARMM,Maguindanao del Norte,Sub-Total,5641048,1238651,4402397,3225582,3059682,250530,416430,210832,188854,399686
municipality,BARMM,Maguindanao del Sur,Sub-Total,5218337,1460309,3758028,3773119,3728685,154393,198827,214827,162378,377206
municipality,BARMM,Sulu,Sub-Total,10214469,4022137,6192332,3828541,3132747,-59332,636462,474540,-59897,414642
municipality,BARMM,Tawi-Tawi,Sub-Total,2810743,458860,2351883,2450737,2473852,-21869,-44984,406854,-165650,241203
municipality,BARMM,Tawi-Tawi,Regional Total,38243709,12825070,25418639,22384897,20667236,611198,2328859,1605099,508170,2113269
