psgc,level,name,region,province,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
1806100000,province,Siquijor,REGION VII,,5594048,1427627,4166421,924097,862374,88300,150023,981461,65555,1047016
0807800000,province,Biliran,REGION VIII,,2542555,394031,2148525,1143546,1066608,148778,225716,756498,59289,815787
0802600000,province,Eastern Samar,REGION VIII,,6658715,1662523,4996193,2141486,1857477,-45924,238086,2887562,415534,3303096
0803700000,province,Leyte,REGION VIII,,19691607,3284966,16406642,4523023,2799463,-194351,1529210,5766288,893225,6659513
0804800000,province,Northern Samar,REGION VIII,,9441227,1764936,7676290,2361881,2078666,-22713,260503,2281477,-907679,1373799
0806000000,province,Samar,REGION VIII,,12563044,5671837,6891207,3226737,3768393,789189,247533,1872306,244976,2117281
0806400000,province,Southern Leyte,REGION VIII,,8162136,2254402,5907734,1643181,1360803,103470,385848,1653674,7370,1661045
0907200000,province,Zamboanga Del Norte,REGION IX,,10023370,2428014,7595356,3261335,2716015,-131876,413444,995859,41973,1037832
0907300000,province,Zamboanga Del Sur,REGION IX,,17995367,4366230,13629137,2755893,2203867,194131,746157,3631238,-814223,2817015
0908300000,province,Zamboanga Sibugay,REGION IX,,7364178,1013216,6350962,2077566,1732777,-39237,305551,1270165,-156178,1113987
1001300000,province,Bukidnon,REGION X,,21928731,1830725,20098006,5285675,4424661,-92611,768403,4585844,-693289,3892555
1001800000,province,Camiguin,REGION X,,4204946,1055743,3149203,850636,727008,-14434,109194,997927,14538,1012465
1003500000,province,Lanao Del Norte,REGION X,,10488531,3792268,6696263,2544665,1797166,90462,837961,5175895,127285,5303180
1004200000,province,Misamis Occidental,REGION X,,10254441,1189012,9065430,2241100,2018377,-87743,134979,1005704,-593117,412587
1004300000,province,Misamis Oriental,REGION X,,8903802,3689040,5214762,3463686,3089461,-76393,297832,1134454,-214665,919789
1108200000,province,Davao De Oro,REGION XI,,23355178,1794356,21560822,4082225,3898951,-116947,66326,1580582,169460,1750042
1102300000,province,Davao Del Norte,REGION XI,,8347878,1932777,6415101,2936866,2758314,62414,240966,1717827,-218173,1499653
1102400000,province,Davao Del Sur,REGION XI,,7386569,1395043,5991526,2224344,1919952,-50732,253660,1355658,230374,1586032
1108600000,province,Davao Occidental,REGION XI,,5929696,2082393,3847303,1485468,1286275,-11511,187682,585851,11013,596864
1102500000,province,Davao Oriental,REGION XI,,11613246,2508629,9104617,2512527,2451084,-17265,44179,723621,244087,967708
1204700000,province,North Cotabato,REGION XII,,15979831,834657,15145175,4524371,2695549,-75350,1753472,2506690,-541723,1964967
1208000000,province,Sarangani,REGION XII,,6208036,1418404,4789632,2061266,1999472,159361,221155,1405618,204841,1610459
1206300000,province,South Cotabato,REGION XII,,8670614,1888191,6782423,2986746,2655492,-14745,316509,1497073,96814,1593888
1206500000,province,Sultan Kudarat,REGION XII,,6688854,1997599,4691256,2732228,2312258,-7659,412311,1174325,-599783,574542
1600200000,province,Agusan Del Norte,REGION XIII,,5864627,1328638,4535989,1803442,1536933,-225091,41417,1171983,-96863,1075121
1600300000,province,Agusan Del Sur,REGION XIII,,14790643,1383417,13407227,3515479,2588352,-39695,887432,3031617,-99710,2931908
1608500000,province,Dinagat Islands,REGION XIII,,2286826,339087,1947739,1078194,873927,-61657,142609,673994,-66035,607959
1606700000,province,Surigao Del Norte,REGION XIII,,16094058,2476206,13617852,1961156,2117431,-33372,-189647,1891916,-636294,1255622
1606800000,province,Surigao Del Sur,REGION XIII,,9430392,3366877,6063515,2491235,2078999,-38107,374128,1386297,-82752,1303544
1900700000,province,Basilan,BARMM,,2656199,1150115,1506085,1629166,1582847,-25754,20566,210152,207515,417667
1903600000,province,Lanao Del Sur,BARMM,,11045181,3757528,7287653,3884747,3870909,-632,13207,2172800,-560135,1612665
1908700000,province,Maguindanao del Norte,BARMM,,2468791,652422,1816368,2549056,2010775,-240402,297879,1489858,595928,2085786
1908800000,province,Maguindanao del Sur,BARMM,,3166882,1222797,1944085,2175130,2130070,4191,49252,399074,-217985,181089
0906600000,province,Sulu,BARMM,,5790498,816807,4973691,2121942,1706954,-25632,389356,68405,83284,151689
1907000000,province,Tawi Tawi,BARMM,,4438958,623357,3815601,1659557,1329237,-34546,295773,55495,649898,705393
1380100000,city,Caloocan,NCR,,34072081,17076888,16995194,8698534,8027737,-44240,626558,8371081,-1101558,7269523
1380200000,city,Las Piñas,NCR,,13818404,3579815,10238590,4356473,3632238,-36652,687583,6563115,87000,6650116
1380300000,city,Makati,NCR,,246100481,19775712,226324770,21876644,21247026,-456360,173259,26032289,607095,26639383
1380400000,city,Malabon,NCR,,6067322,3464553,2602769,2383318,3012838,-47569,-677088,2213572,-466534,1747038
1380500000,city,Mandaluyong,NCR,,34157373,7533123,26624250,7781702,8123978,-217040,-559316,3288747,-1018427,2270321
1380600000,city,Manila,NCR,,92810890,41696548,51114342,21837091,16620120,-832769,4384203,9304414,-1220187,8084227
1380700000,city,Marikina,NCR,,10571723,5424725,5146998,3673428,3844504,-91755,-262831,1628292,-38176,1590115
1380800000,city,Muntinlupa,NCR,,21305055,6562407,14742649,6850682,6546749,-334641,-30707,3463527,-456493,3007034
1380900000,city,Navotas,NCR,,6294952,1649764,4645188,1810774,1904563,6685,-87104,1038401,364158,1402559
1381000000,city,Parañaque,NCR,,38211409,10860098,27351311,10638198,8390008,-434563,1813627,8693636,163022,8856658
1381100000,city,Pasay,NCR,,21027860,9735338,11292522,9503826,8160095,-301018,1042714,3473381,1291952,4765332
1381200000,city,Pasig,NCR,,53774366,8078476,45695890,17004404,12885625,-846581,3272199,11362223,-1437261,9924962
1381300000,city,Quezon,NCR,,489945667,36251274,453694393,31434441,26387208,-2469440,2577793,14774606,-413262,14361344
1381400000,city,San Juan,NCR,,8426994,2615402,5811593,3101068,2744518,-110159,246391,3343934,211775,3555710
1381500000,city,Taguig,NCR,,54174869,29091642,25083227,20569309,17472207,-1204838,1892264,22881823,1411504,24293326
1381600000,city,Valenzuela,NCR,,14808107,5964123,8843983,6301559,5811937,-231786,257836,715964,-27324,688640
1430300000,city,Baguio,CAR,,17704536,8327906,9376630,2787702,2013088,-66629,707985,1603887,4196109,5799995
1403213000,city,Tabuk,CAR,,4897595,1700157,3197438,1618321,1562202,-49199,6920,680673,-153554,527119
0105503000,city,Alaminos,REGION I,,3529525,731037,2798488,1146944,941072,-34834,171038,317827,24228,342055
0102805000,city,Batac,REGION I,,4524099,757993,3766106,1279825,801167,18769,497426,2344146,494071,2838217
0102906000,city,Candon,REGION I,,8152241,797453,7354788,2462669,959170,-110628,1392871,2369112,810865,3179976
0105518000,city,Dagupan,REGION I,,4330892,901614,3429278,1417022,1166357,-39198,211467,1776087,71895,1847981
0102812000,city,Laoag,REGION I,,21439731,820830,20618901,1204345,927905,-16670,259770,1291815,127477,1419292
0105532000,city,San Carlos,REGION I,,4351851,959455,3392396,1272639,1006099,-17179,249361,1138911,158166,1297077
0103314000,city,San Fernando,REGION I,,3420792,591471,2829320,1320465,1021576,-18173,280716,1181240,231884,1413124
0105546000,city,Urdaneta,REGION I,,3700918,997221,2703698,1541456,1434298,-8744,98413,892790,-97081,795710
0102934000,city,Vigan,REGION I,,2873784,648683,2225102,861236,579362,-6466,275408,1200170,430559,1630729
0203108000,city,Cauayan,REGION II,,3633585,2363782,1269803,1511894,1533623,-26099,-47829,268417,2766,271184
0203114000,city,Ilagan,REGION II,,8896846,3149153,5747693,2792956,2283968,-1591,507397,90015,58596,148610
0203135000,city,Santiago,REGION II,,9094976,2090412,7004565,2610753,2062265,-8185,540303,1599449,-193638,1405811
0201529000,city,Tuguegarao,REGION II,,5400432,1814536,3585896,1465722,1159915,-24727,281080,1165067,-33980,1131087
0330100000,city,Angeles,REGION III,,9494254,3503858,5990395,3479522,3070677,-46250,362595,1943286,-64955,1878331
0300803000,city,Balanga,REGION III,,2358936,696088,1662849,1236730,1068628,-56113,111989,602817,-117724,485092
0301403000,city,Baliwag,REGION III,,2301312,1086821,1214491,1280072,1181871,-15981,82220,768117,440,768557
0304903000,city,Cabanatuan,REGION III,,9646944,5007401,4639543,2468684,2209897,-47328,211460,1345071,-185404,1159667
