# title: 2022 President by Province
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
1903600000,Lanao del Sur,145155,126326,7057,29880,1759,180131,810,525,836,374
1908800000,Maguindanao del Sur,147617,140359,8197,11631,1055,3793,721,273,621,221
1908700000,Maguindanao del Norte,154673,99914,5077,8615,923,5591,748,221,473,171
0906600000,Sulu,328092,9712,1744,1433,329,776,149,56,331,57
1907000000,Tawi-Tawi,143630,13563,11531,2884,537,1562,421,184,479,193
1400100000,Abra,147812,4502,588,708,921,63,178,113,129,96
1401100000,Benguet,264827,49478,7064,6998,13483,767,292,331,285,419
1402700000,Ifugao,82479,15585,6573,2233,2417,73,173,154,127,222
1403200000,Kalinga,117391,8440,1472,1071,1365,180,220,207,145,293
1404400000,Mountain Province,75705,8765,3603,1985,2708,49,156,176,106,165
1408100000,Apayao,60181,1879,906,368,449,27,121,84,75,124
1300000000,Metro Manila,3287785,1817465,92728,525663,137920,9156,4045,9053,5119,4441
