dataset_id,psgc,value,category,detail
elections-2022-president,1380601080,,Isko Moreno,"{""Isko_Moreno"":763,""Ping_Lacson"":16,""Leni_Robredo"":211,""Ernesto_Abella"":0,""Manny_Pacquiao"":12,""Bongbong_Marcos"":641,""Jose_Montemayor"":1,""Leody_de_Guzman"":1,""Faisal_Mangondato"":2,""Norberto_Gonzales"":3}"
elections-2022-president,1380601081,,Isko Moreno,"{""Isko_Moreno"":384,""Ping_Lacson"":14,""Leni_Robredo"":150,""Ernesto_Abella"":2,""Manny_Pacquiao"":6,""Bongbong_Marcos"":364,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":1,""Norberto_Gonzales"":2}"
elections-2022-president,1380601063,,Isko Moreno,"{""Isko_Moreno"":378,""Ping_Lacson"":11,""Leni_Robredo"":178,""Ernesto_Abella"":0,""Manny_Pacquiao"":5,""Bongbong_Marcos"":352,""Jose_Montemayor"":0,""Leody_de_Guzman"":1,""Faisal_Mangondato"":1,""Norberto_Gonzales"":2}"
elections-2022-president,1380601082,,Isko Moreno,"{""Isko_Moreno"":557,""Ping_Lacson"":14,""Leni_Robredo"":247,""Ernesto_Abella"":0,""Manny_Pacquiao"":11,""Bongbong_Marcos"":441,""Jose_Montemayor"":0,""Leody_de_Guzman"":3,""Faisal_Mangondato"":2,""Norberto_Gonzales"":2}"
elections-2022-president,1380601083,,Isko Moreno,"{""Isko_Moreno"":327,""Ping_Lacson"":8,""Leni_Robredo"":148,""Ernesto_Abella"":0,""Manny_Pacquiao"":5,""Bongbong_Marcos"":219,""Jose_Montemayor"":1,""Leody_de_Guzman"":2,""Faisal_Mangondato"":1,""Norberto_Gonzales"":1}"
elections-2022-president,1380601084,,Isko Moreno,"{""Isko_Moreno"":341,""Ping_Lacson"":7,""Leni_Robredo"":169,""Ernesto_Abella"":0,""Manny_Pacquiao"":7,""Bongbong_Marcos"":247,""Jose_Montemayor"":0,""Leody_de_Guzman"":3,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,1800000000,,Bongbong Marcos,"{""Isko_Moreno"":68159,""Ping_Lacson"":37703,""Leni_Robredo"":838269,""Ernesto_Abella"":10102,""Manny_Pacquiao"":435669,""Bongbong_Marcos"":893684,""Jose_Montemayor"":4345,""Leody_de_Guzman"":6467,""Faisal_Mangondato"":2315,""Norberto_Gonzales"":5897}"
elections-2022-president,0700000000,,Bongbong Marcos,"{""Isko_Moreno"":107913,""Ping_Lacson"":52602,""Leni_Robredo"":730324,""Ernesto_Abella"":7807,""Manny_Pacquiao"":527060,""Bongbong_Marcos"":2048321,""Jose_Montemayor"":4911,""Leody_de_Guzman"":6382,""Faisal_Mangondato"":3134,""Norberto_Gonzales"":6472}"
elections-2022-president,0800000000,,Bongbong Marcos,"{""Isko_Moreno"":69978,""Ping_Lacson"":24108,""Leni_Robredo"":584419,""Ernesto_Abella"":8346,""Manny_Pacquiao"":228410,""Bongbong_Marcos"":1566197,""Jose_Montemayor"":3156,""Leody_de_Guzman"":5168,""Faisal_Mangondato"":2206,""Norberto_Gonzales"":5430}"
elections-2022-president,1900700000,,Bongbong Marcos,"{""Isko_Moreno"":3823,""Ping_Lacson"":750,""Leni_Robredo"":51511,""Ernesto_Abella"":586,""Manny_Pacquiao"":4074,""Bongbong_Marcos"":147121,""Jose_Montemayor"":126,""Leody_de_Guzman"":162,""Faisal_Mangondato"":3923,""Norberto_Gonzales"":315}"
elections-2022-president,1380601085,,Isko Moreno,"{""Isko_Moreno"":945,""Ping_Lacson"":13,""Leni_Robredo"":251,""Ernesto_Abella"":0,""Manny_Pacquiao"":4,""Bongbong_Marcos"":657,""Jose_Montemayor"":0,""Leody_de_Guzman"":2,""Faisal_Mangondato"":1,""Norberto_Gonzales"":0}"
elections-2022-president,1380601086,,Bongbong Marcos,"{""Isko_Moreno"":396,""Ping_Lacson"":21,""Leni_Robredo"":235,""Ernesto_Abella"":0,""Manny_Pacquiao"":5,""Bongbong_Marcos"":452,""Jose_Montemayor"":2,""Leody_de_Guzman"":0,""Faisal_Mangondato"":2,""Norberto_Gonzales"":0}"
elections-2022-president,1380601087,,Bongbong Marcos,"{""Isko_Moreno"":321,""Ping_Lacson"":13,""Leni_Robredo"":195,""Ernesto_Abella"":1,""Manny_Pacquiao"":10,""Bongbong_Marcos"":339,""Jose_Montemayor"":1,""Leody_de_Guzman"":1,""Faisal_Mangondato"":1,""Norberto_Gonzales"":0}"
elections-2022-president,1380601088,,Bongbong Marcos,"{""Isko_Moreno"":237,""Ping_Lacson"":9,""Leni_Robredo"":106,""Ernesto_Abella"":0,""Manny_Pacquiao"":0,""Bongbong_Marcos"":252,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":1,""Norberto_Gonzales"":0}"
elections-2022-president,1380601089,,Isko Moreno,"{""Isko_Moreno"":259,""Ping_Lacson"":7,""Leni_Robredo"":132,""Ernesto_Abella"":0,""Manny_Pacquiao"":3,""Bongbong_Marcos"":224,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
